band,full-time,part-time
R1,,
S1,5100,2550
P1,,
P2,5330,2675
P3,5565,2790
P4,5565,2790
P5,5750,2890
P6,6015,3025
P7,6415,3210
P8,6695,3360
P9,6960,3495
P10,7225,3630
P11,7515,3750
P12,8805,3885
P13,8035,4020
P14,8325,4170
P15,8590,4305
P16,8855,4440
P17,9145,4570
P18,9410,4705
P19,9665,4840
P20,9955,4990
P21,10220,5125
P22,10505,5155
P23,10775,5380
P24,11030,5515
P25,11315,5680
OS1,12450,6240
OS2,12585,6295
OS3,12720,6375
OS4,12855,6425
OS5,12960,6480
OS6,13095,6665
OS7,13310,6665
OS8,13525,6780
OS9,13735,6885
OS10,13985,6985
OS11,14190,7100
OS12,14410,7205
OS13,14645,7310
OS14,14865,7440
OS15,15080,7555
OS16,15290,7660
OS17,15525,7765
USE1,9000,4500
USE2,1380,690
USE3,3465,1735
USE4,865,
USE5,1725,
USE6,5500,
USE7,5700,
USE8,6000,
USE9,9000,
USN1,9000,4500
USN2,1380,690
USN3,3465,1735
USN4,865,
USN5,1725,
USN6,5500,
USN7,5700,
USN8,6000,
UP1,1310,655
UP2,1420,705
UP3,1520,765
UP4,1630,815
UP5,1730,865
UP6,1840,915
UP7,1940,975
UP8,2050,1025
UP9,2210,1100
UP10,2310,1160
UP11,2420,1210
UP12,2520,1260
UP13,2630,1310
UP14,2890,1445
UP15,3150,1580
UP16,3415,1705
UP17,3680,1840
UP18,3940,1970
UP19,4205,2100
UP20,4465,2235
UP21,4730,2360
UP22,4990,2495
UP23,5255,2630
UP24,5515,2760
UP25,5780,2890
UOS1,12450,6240
UOS2,12585,6295
UOS3,12720,6375
UOS4,12855,6430
UOS5,12960,6480
UOS6,13090,6560
UOS7,13310,6665
UOS8,13530,6780
UOS9,13735,6885
UOS10,13980,6985
UOS11,14190,7100
UOS12,14405,7205
UOS13,14645,7305
UOS14,14860,7440
UOS15,15080,7555
UOS16,15290,7660
UOS17,15525,7765
