Pos Code,UK/EU Fee Band,Int Fee Band
ACC-ECON:BA,USN1,UOS1
ACC-MANSC:BA,USN1,UOS1
ACC/COMP:BA,USN1,UOS1
ACC/FREBS-A:BA,USN1,UOS1
ACC:BA,USN1,UOS1
ACC:BA-P,USN1,UOS1
ACC:DIP,USN1,UOS1
ACC:MPH-R,R1,OS1
ACC:PHD-R,R1,OS1
ACCESSMKC:NQUAL,,
ACCF-ANT:BA,USN1,UOS1
ACCF-BUSADMIN-S:BA,USN1,UOS1
ACCF-BUSADMIN:BA,USN1,UOS1
ACCF-ECON-S:BA,USN1,UOS1
ACCF-ECON:BA,USN1,UOS1
ACCF-MANSC-S:BA,USN1,UOS1
ACCF-MANSC:BA,USN1,UOS1
ACCF-OPT:BA,USN1,UOS1
ACCF-POL:BA,USN1,UOS1
ACCF-POLITICS:BA,USN1,UOS1
ACCF-S:BA,USN1,UOS1
ACCF-SOC:BA,USN1,UOS1
ACCF-SOCPOL:BA,USN1,UOS1
ACCF-SPA:BA,USN1,UOS1
ACCF/COMP-S:BA,USN1,UOS1
ACCF/COMP:BA,USN1,UOS1
ACCF/FREBS-A:BA,USN1,UOS1
ACCF:BA,USN1,UOS1
ACCF:CERT,USN1,UOS1
ACCF:DIP,USN1,UOS1
ACCFFRE-A:BA,USN1,UOS1
ACCFGER-A:BA,USN1,UOS1
ACCFRE-A:BA,USN1,UOS1
ACCMGT-S:BA,USN1,UOS1
ACCMGT:BA,USN1,UOS1
ACELANGSK:PDIP-T,S1,OS1
ACOMP:BSC,USN1,UOS14
ACOMP:MPH-R,R1,OS1
ACOMP:PHD-R,R1,OS1
ACS-ENG:BA,USN1,UOS1
ACS-FRE-A:BA,USN1,UOS1
ACS-GER-A:BA,USN1,UOS1
ACS-HIS:BA,USN1,UOS1
ACS-POLIR:BA,USN1,UOS1
ACS-THRS:BA,USN1,UOS1
ACS:BA,USN1,UOS1
ACTSCI-S:BSC,USN1,UOS1
ACTSCI:BSC,USN1,UOS1
ACTSCI:BSC-P,USN1,UOS1
ACTSCI:CERT,USN1,UOS1
ACTSCI:DIP,USN1,UOS1
ACTSCI:GCERT,P17,E14
ACTSCI:GDIP-T,P17,E14
ACTSCI:MPH-R,R1,OS1
ACTSCI:MSC-T,P24,OS17
ACTSCI:PCRT-T,P17,E14
ACTSCI:PDIP-T,P17,E14
ACTSCI:PHD-R,R1,OS1
ACTSCIAP-I:MSC-T,OS8,OS8
ACTSCIAP:MSC-T,P24,OS17
ACTSCIAP:PCERT-T,P24,OS17
ACTSCIAP:PDIP-T,P24,OS17
ACTSTUD:DIP,USN1,UOS1
ADBEHAV:CERT,,UXN21
ADBEHAV:CRDT,,
ADCHILDPROT(DL):MA-T,XXX14,XXX14
ADCOMPSCI-I:MSC-T,S1,OS14
ADCOMPSCI-S-I:MSC-T,S1,OS14
ADCOMPSCI-S:MSC-T,S1,OS14
ADCOMPSCI:MSC-T,S1,OS14
ADCOMPSCI:PCRT-T,S1,OS14
ADCOMPSCI:PDIP-T,S1,OS14
ADCOUNC:MA-T,S1,OS1
ADCOUNC:PDIP-T,S1,OS1
ADCS(CI)-I:MSC-T,S1,OS14
ADCS(CI)-S-I:MSC-T,S1,OS14
ADCS(CI)-S:MSC-T,S1,OS14
ADCS(CI):MSC-T,S1,OS14
ADCS(CI):PCRT-T,S1,OS14
ADCS(CI):PDIP-T,S1,OS14
ADDCOST:MA-T,S1,
ADDCOST:PDIP-T,S1,
ADMAN:CRDT,,
ADPROMCS-I:MSC-T,S1,OS14
ADPROMCS-S-I:MSC-T,S1,OS14
ADPROMCS-S:MSC-T,S1,OS14
ADPROMCS:MSC-T,S1,OS14
ADPROMCS:PCRT-T,S1,OS14
ADPROMCS:PDIP-T,S1,OS14
ADSOFTDEV-I:MSC-T,S1,OS14
ADSOFTDEV-S-I:MSC-T,S1,OS14
ADSOFTDEV-S:MSC-T,S1,OS14
ADSOFTDEV:MSC-T,S1,OS14
ADSOFTDEV:PCRT-T,S1,OS14
ADSOFTDEV:PDIP-T,S1,OS14
ADSPH(APDEN):MSC-T,XXX12,
ADSPH(MISURG):MSC-T,E33H,E33O
ADSPH(MISURG):PCRT-T,E33H,E33O
ADSPH(MISURG):PDIP-T,E33H,E33O
ADSPH(SPCARE):MSC-T,E31H,E31O
ADSPH(SPCARE):PCRT-T,E31H,E31O
ADSPH(SPCARE):PDIP-T,E31H,E31O
