band,full-time,part-time,euro-full-time,euro-part-time,,
R1,4052,2026,,,,
S1,5250,2625,,,,
P1,,,,,,
P2,5460,2740,,,,
P3,5680,2860,,,,
P4,5680,2860,,,,
P5,5890,2960,,,,
P6,6160,3100,,,,
P7,6570,3290,,,,
P8,6860,3440,,,,
P9,7130,3580,,,,
P10,7410,3720,,,,
P11,7700,3840,,,,
P12,7970,3980,,,,
P13,8240,4120,,,,
P14,8530,4270,,,,
P15,8800,4410,,,,
P16,9080,4550,,,,
P17,9370,4680,,,,
P18,9640,4820,,,,
P19,9910,4960,,,,
P20,10200,5110,,,,
P21,10480,5250,,,,
P22,10770,5280,,,,
P23,11040,5510,,,,
P24,11310,5650,,,,
P25,11600,5820,,,,
OS1,12890,6460,,,,
OS2,13020,6510,,,,
OS3,13160,6600,,,,
OS4,13300,6650,,,,
OS5,13410,6710,,,,
OS6,13550,6780,,,,
OS7,13780,6900,,,,
OS8,14000,7020,,,,
OS9,14220,7130,,,,
OS10,14470,7230,,,,
OS11,14690,7350,,,,
OS12,14910,7460,,,,
OS13,15160,7580,,,,
OS14,15380,7690,,,,
OS15,15610,7820,,,,
OS16,15820,7930,,,,
OS17,16070,8040,,,,
USE1,9000,4500,,,,
USE2,1380,690,,,,
USE3,3465,1735,,,,
USE4,865,n/a,,,,
USE5,1350,n/a,,,,
USE6,5500,,,,,
USE7,5700,,,,,
USE8,6000,,,,,
USE9,,,,,,
USN1,9000,4500,,,,
USN2,1380,690,,,,
USN3,3465,1735,,,,
USN4,865,865,,,,
USN5,1350,n/a,,,,
USN6,5500,,,,,
USN7,5700,,,,,
USN8,6000,,,,,
UP1,1340,670,,,,
UP2,1460,730,,,,
UP3,1560,780,,,,
UP4,1670,840,,,,
UP5,1770,890,,,,
UP6,1890,940,,,,
UP7,1990,1000,,,,
UP8,2100,1050,,,,
UP9,2260,1130,,,,
UP10,2370,1190,,,,
UP11,2480,1240,,,,
UP12,2580,1292,,,,
UP13,2700,1350,,,,
UP14,2960,1480,,,,
UP15,3230,1620,,,,
UP16,3500,1750,,,,
UP17,3770,1890,,,,
UP18,4040,2020,,,,
UP19,4310,2160,,,,
UP20,4580,2290,,,,
UP21,4850,2430,,,,
UP22,5110,2560,,,,
UP23,5390,2700,,,,
UP24,5650,2930,,,,
UP25,5920,2960,,,,
UOS1,12890,6460,,,,
UOS2,13020,6510,,,,
UOS3,13160,6600,,,,
UOS4,13300,6650,,,,
UOS5,13410,6710,,,,
UOS6,13550,6790,,,,
UOS7,13780,6900,,,,
UOS8,14000,7020,,,,
UOS9,14220,7130,,,,
UOS10,14470,7230,,,,
UOS11,14690,7350,,,,
UOS12,14910,7460,,,,
UOS13,15160,7560,,,,
UOS14,15380,7700,,,,
UOS15,15610,7820,,,,
UOS16,15820,7930,,,,
UOS17,16070,8040,,,,
E1H,19975,9890,,,,
E1O,19975,9890,,,,
E3H,7250,,,,,
E3O,12900,,,,,
E4H,865,,,,,
E4O,865,,,,,
E5H,5950,3000,,,,
E5O,13370,,,,,
E6H,5950,3000,,,,
E6O,13370,,,,,
E7H,3510,,,,,
E7O,8590,,,,,
E9,,,,,,
E10,,,,,,
E11H,,1640,,,,
E11O,,4460,,,,
E12H,,2420,,,,
E12O,6650,3330,,,,
E13,,,,,,
E14,13280,,,,,1
E15,,,,,,
E16,,,,,,
E17,,,,,,
E18H,3240,1610,,,,
E18O,4460,2240,,,,
E19H,,3270,,,,
E19O,6650,3330,,,,
E20,,,,,,
E21H,1610,810,,,,
E21O,2240,1120,,,,
E22H,3510,1750,,,,
E22O,8640,4430,,,,
E22AH,4810,2410,,,,
E22AO,6650,3330,,,,
E23H,1750,880,,,,
E23O,4330,2170,,,,
E24H,3510,1750,,,,
E24O,8640,4340,,,,
E25,,,,,,
E26H,2100,1050,,,,
E26O,2140,1070,,,,
E27H,13660,,,,,
E27O,17140,,,,,
E28,,,,,,
E29,,,,,,
E30,,,,,,
E31H,,2150,,,,
E31O,,2170,,,,
E32H,,3230,,,,
E32O,,4240,,,,
E33H,,6300,,,,
E33O,,6300,,,,
E34,,,,,,
E35H,6250,,,,,
E35O,15570,,,,,
E36,,,,,,
E37H,7170,3590,,,,
E37O,14490,7240,,,,
E38,,,,,,
UXN1,1560,,,,,
UXN2,6000,,,,,
UXN3H,1770,,,,,
UXN3O,7760,,,,,
UXN4,2120,,,,,
UXN5H,1750,,,,,
UXN5O,4330,,,,,
UXN6H,5640,,,,,
UXN6O,7970,,,,,
UXN7,,,,,,
UXN8H,5640,,,,,
UXN8O,7970,,,,,
UXN9,,,,,,
UXN10,,2520,,,,
UXN11,,235,,,,
UXN12,,480,,,,
UXN13,,730,,,,
UXN14,12050,,,,,
UXN15,9640,,,,,
UXN16,4820,,,,,
UXN17,7230,,,,,
UXN18,,,,,,
UXN19,,,,,,
UXN20,,4660,,,,
UXN21,,840,,,,
UXN22H,,1375,,,,
UXN22O,,2680,,,,
UXN23,,185,,,,
UXN24,,,,,,
UXN25,9000,,,,,
XXX1,5250,2625,,,,
BRU01,,,8660,4330,,
BRU02,,,23500,11750,,
BRU03,,,16500,8250,,
XXX2,4110,2070,,,,
XXX3,8640,4430,,,,
XXX4,3510,1750,,,,
XXX5,8640,4340,,,,
XXX6,1750,,,,,
XXX7,4330,,,,,
XXX8,3240,1610,,,,
XXX9,5250,2625,,,,
XXX10,12890,,,,,
XXX11,,2500,,,,
XXX12,,2550,,,,
XXX13,9000,,,,,
XXX14,,3990,,,,
XXX15,7130,,,,,
XXX16,15380,,,,,
XXX17,15160,,,,,
XXX18,19975,19975,,,,
XXX19,3480,,,,,
XXX20,3465,,,,,
XXX21,4500,,,,,
XXX22,11000,,,,,
ATH01,,,7500,,,
XXX23,8370,,,,,
