band,full-time,part-time,euro-full-time,euro-part-time
EXAT001,,,7500,0
EXAT001-NAF,,,n/a,0
EXAT001-NAP,,,7500,n/a
EXBR001,,,19300,9650
EXBR001-NAF,,,n/a,9650
EXBR001-NAP,,,19300,n/a
EXBR002,,,27100,13550
EXBR002-NAF,,,n/a,13550
EXBR002-NAP,,,27100,n/a
EXBR003,,,0,0
EXBR003-NAF,,,n/a,0
EXBR003-NAP,,,0,n/a
EXIN001,46600,0,,
EXIN001-NAF,n/a,0,,
EXIN001-NAP,46600,n/a,,
EXIN002,10300,5150,,
EXIN002-NAF,n/a,5150,,
EXIN002-NAP,10300,n/a,,
EXIN003,2700,1350,,
EXIN003-NAF,n/a,1350,,
EXIN003-NAP,2700,n/a,,
EXIN004,5600,2800,,
EXIN004-NAF,n/a,2800,,
EXIN004-NAP,5600,n/a,,
EXIN005,5400,2700,,
EXIN005-NAF,n/a,2700,,
EXIN005-NAP,5400,n/a,,
EXIN006,8400,0,,
EXIN006-NAF,n/a,0,,
EXIN006-NAP,8400,n/a,,
EXIN007,8100,4050,,
EXIN007-NAF,n/a,4050,,
EXIN007-NAP,8100,n/a,,
EXIN008,20500,10250,,
EXIN008-NAF,n/a,10250,,
EXIN008-NAP,20500,n/a,,
EXIN009,11200,5600,,
EXIN009-NAF,n/a,5600,,
EXIN009-NAP,11200,n/a,,
EXIN010,13667,6834,,
EXIN010-NAF,n/a,6834,,
EXIN010-NAP,13667,n/a,,
EXIN011,18000,9000,,
EXIN011-NAF,n/a,9000,,
EXIN011-NAP,18000,n/a,,
EXIN012,20500,10250,,
EXIN012-NAF,n/a,10250,,
EXIN012-NAP,20500,n/a,,
EXIN013,16800,8400,,
EXIN013-NAF,n/a,8400,,
EXIN013-NAP,16800,n/a,,
EXIN014,16800,8400,,
EXIN014-NAF,n/a,8400,,
EXIN014-NAP,16800,n/a,,
EXIN015,13100,6550,,
EXIN015-NAF,n/a,6550,,
EXIN015-NAP,13100,n/a,,
EXIN016,19000,9500,,
EXIN016-NAF,n/a,9500,,
EXIN016-NAP,19000,n/a,,
EXIN022,20500,10250,,
EXIN022-NAF,n/a,10250,,
EXIN022-NAP,20500,n/a,,
EXIN024,-,-,,
EXIN024-NAF,n/a,-,,
EXIN024-NAP,-,n/a,,
EXIN027,21500,10750,,
EXIN027-NAF,n/a,10750,,
EXIN027-NAP,21500,n/a,,
EXIN028,23000,11500,,
EXIN028-NAF,n/a,11500,,
EXIN028-NAP,23000,n/a,,
EXIN029,12670,6330,,
EXIN029-NAF,n/a,6330,,
EXIN029-NAP,12670,n/a,,
EXIN030,6330,3170,,
EXIN030-NAF,n/a,3170,,
EXIN030-NAP,6330,n/a,,
EXIN031,12000,6000,,
EXIN031-NAF,n/a,6000,,
EXIN031-NAP,12000,n/a,,
EXIN032,6000,3000,,
EXIN032-NAF,n/a,3000,,
EXIN032-NAP,6000,n/a,,
EXIN033,21500,0,,
EXIN033-NAF,n/a,0,,
EXIN033-NAP,21500,n/a,,
EXIN034,18000,9000,,
EXIN034-NAF,n/a,9000,,
EXIN034-NAP,18000,n/a,,
EXPA001,,,11150,5575
EXPA001-NAF,,,n/a,5575
EXPA001-NAP,,,11150,n/a
EXPA002,,,18750,9375
EXPA002-NAF,,,n/a,9375
EXPA002-NAP,,,18750,n/a
EXPA003,,,14700,7350
EXPA003-NAF,,,n/a,7350
EXPA003-NAP,,,14700,n/a
EXPA004,,,27100,13550
EXPA004-NAF,,,n/a,13550
EXPA004-NAP,,,27100,n/a
EXUK001,0,4050,,
EXUK001-NAF,n/a,4050,,
EXUK001-NAP,0,n/a,,
EXUK002,20500,10250,,
EXUK002-NAF,n/a,10250,,
EXUK002-NAP,20500,n/a,,
EXUK003,0,3000,,
EXUK003-NAF,n/a,3000,,
EXUK003-NAP,0,n/a,,
EXUK004,0,5050,,
EXUK004-NAF,n/a,5050,,
EXUK004-NAP,0,n/a,,
EXUK005,2000,1000,,
EXUK005-NAF,n/a,1000,,
EXUK005-NAP,2000,n/a,,
EXUK006,2700,1350,,
EXUK006-NAF,n/a,1350,,
EXUK006-NAP,2700,n/a,,
EXUK007,3600,1800,,
EXUK007-NAF,n/a,1800,,
EXUK007-NAP,3600,n/a,,
EXUK008,4000,2000,,
EXUK008-NAF,n/a,2000,,
EXUK008-NAP,4000,n/a,,
EXUK009,6000,3000,,
EXUK009-NAF,n/a,3000,,
EXUK009-NAP,6000,n/a,,
EXUK010,5400,2700,,
EXUK010-NAF,n/a,2700,,
EXUK010-NAP,5400,n/a,,
EXUK011,3367,3367,,
EXUK011-NAF,n/a,3367,,
EXUK011-NAP,3367,n/a,,
EXUK012,6000,3000,,
EXUK012-NAF,n/a,3000,,
EXUK012-NAP,6000,n/a,,
EXUK013,5400,2700,,
EXUK013-NAF,n/a,2700,,
EXUK013-NAP,5400,n/a,,
EXUK014,-,5550,,
EXUK014-NAF,n/a,5550,,
EXUK014-NAP,-,n/a,,
EXUK016,6600,3300,,
EXUK016-NAF,n/a,3300,,
EXUK016-NAP,6600,n/a,,
EXUK021,8100,4050,,
EXUK021-NAF,n/a,4050,,
EXUK021-NAP,8100,n/a,,
EXUK022,9100,4550,,
EXUK022-NAF,n/a,4550,,
EXUK022-NAP,9100,n/a,,
EXUK023,11100,5550,,
EXUK023-NAF,n/a,5550,,
EXUK023-NAP,11100,n/a,,
EXUK024,10100,5050,,
EXUK024-NAF,n/a,5050,,
EXUK024-NAP,10100,n/a,,
EXUK025,10180,5090,,
EXUK025-NAF,n/a,5090,,
EXUK025-NAP,10180,n/a,,
EXUK026,11100,5550,,
EXUK026-NAF,n/a,5550,,
EXUK026-NAP,11100,n/a,,
EXUK027,13100,6550,,
EXUK027-NAF,n/a,6550,,
EXUK027-NAP,13100,n/a,,
EXUK028,-,-,,
EXUK028-NAF,n/a,-,,
EXUK028-NAP,-,n/a,,
EXUK029,13600,6800,,
EXUK029-NAF,n/a,6800,,
EXUK029-NAP,13600,n/a,,
EXUK030,-,-,,
EXUK030-NAF,n/a,-,,
EXUK030-NAP,-,n/a,,
EXUK031,23000,11500,,
EXUK031-NAF,n/a,11500,,
EXUK031-NAP,23000,n/a,,
EXUK032,0,3000,,
EXUK032-NAF,n/a,3000,,
EXUK032-NAP,0,n/a,,
EXUK033,0,2700,,
EXUK033-NAF,n/a,2700,,
EXUK033-NAP,0,n/a,,
EXUK034,1350,1350,,
EXUK034-NAF,n/a,1350,,
EXUK034-NAP,1350,n/a,,
EXUK035,9100,4550,,
EXUK035-NAF,n/a,4550,,
EXUK035-NAP,9100,n/a,,
EXUK036,9100,4550,,
EXUK036-NAF,n/a,4550,,
EXUK036-NAP,9100,n/a,,
EXUK037,6067,3034,,
EXUK037-NAF,n/a,3034,,
EXUK037-NAP,6067,n/a,,
EXUK038,3034,1517,,
EXUK038-NAF,n/a,1517,,
EXUK038-NAP,3034,n/a,,
EXUK039,5400,2700,,
EXUK039-NAF,n/a,2700,,
EXUK039-NAP,5400,n/a,,
EXUK040,2700,1350,,
EXUK040-NAF,n/a,1350,,
EXUK040-NAP,2700,n/a,,
EXUK041,12100,6050,,
EXUK041-NAF,n/a,6050,,
EXUK041-NAP,12100,n/a,,
EXUK042,10100,5050,,
EXUK042-NAF,n/a,5050,,
EXUK042-NAP,10100,n/a,,
NAF-NAP,n/a,n/a,n/a,n/a
PLRH,TBC,TBC,,
PLRH-NAF,n/a,TBC,,
PLRH-NAP,TBC,n/a,,
PLRO,20500,10250,,
PLRO-NAF,n/a,10250,,
PLRO-NAP,20500,n/a,,
PLTH,8100,4050,,
PLTH-NAF,n/a,4050,,
PLTH-NAP,8100,n/a,,
PLTO,20500,10250,,
PLTO-NAF,n/a,10250,,
PLTO-NAP,20500,n/a,,
PNRH,TBC,TBC,,
PNRH-NAF,n/a,TBC,,
PNRH-NAP,TBC,n/a,,
PNRO,16800,8400,,
PNRO-NAF,n/a,8400,,
PNRO-NAP,16800,n/a,,
PNTH,8100,4050,,
PNTH-NAF,n/a,4050,,
PNTH-NAP,8100,n/a,,
PNTO,16800,8400,,
PNTO-NAF,n/a,8400,,
PNTO-NAP,16800,n/a,,
ULTH,9250,4625,,
ULTH-NAF,n/a,4625,,
ULTH-NAP,9250,n/a,,
ULTO,20500,10250,,
ULTO-NAF,n/a,10250,,
ULTO-NAP,20500,n/a,,
UNTH,9250,4625,,
UNTH-NAF,n/a,4625,,
UNTH-NAP,9250,n/a,,
UNTO,16800,8400,,
UNTO-NAF,n/a,8400,,
UNTO-NAP,16800,n/a,,
EXEU001,34950,0,,
EXEU001-NAF,n/a,0,,
EXEU001-NAP,34950,n/a,,
EXEU002,7725,3862.5,,
EXEU002-NAF,n/a,3862.5,,
EXEU002-NAP,7725,n/a,,
EXEU003,2025,1012.5,,
EXEU003-NAF,n/a,1012.5,,
EXEU003-NAP,2025,n/a,,
EXEU004,4200,2100,,
EXEU004-NAF,n/a,2100,,
EXEU004-NAP,4200,n/a,,
EXEU005,4050,2025,,
EXEU005-NAF,n/a,2025,,
EXEU005-NAP,4050,n/a,,
EXEU006,6300,0,,
EXEU006-NAF,n/a,0,,
EXEU006-NAP,6300,n/a,,
EXEU007,6075,3037.5,,
EXEU007-NAF,n/a,3037.5,,
EXEU007-NAP,6075,n/a,,
EXEU008,15375,7687.5,,
EXEU008-NAF,n/a,7687.5,,
EXEU008-NAP,15375,n/a,,
EXEU009,8400,4200,,
EXEU009-NAF,n/a,4200,,
EXEU009-NAP,8400,n/a,,
EXEU010,10250.25,5125.5,,
EXEU010-NAF,n/a,5125.5,,
EXEU010-NAP,10250.25,n/a,,
EXEU011,13500,6750,,
EXEU011-NAF,n/a,6750,,
EXEU011-NAP,13500,n/a,,
EXEU012,15375,7687.5,,
EXEU012-NAF,n/a,7687.5,,
EXEU012-NAP,15375,n/a,,
EXEU013,12600,6300,,
EXEU013-NAF,n/a,6300,,
EXEU013-NAP,12600,n/a,,
EXEU014,12600,6300,,
EXEU014-NAF,n/a,6300,,
EXEU014-NAP,12600,n/a,,
EXEU015,9825,4912.5,,
EXEU015-NAF,n/a,4912.5,,
EXEU015-NAP,9825,n/a,,
EXEU016,14250,7125,,
EXEU016-NAF,n/a,7125,,
EXEU016-NAP,14250,n/a,,
EXEU022,15375,7687.5,,
EXEU022-NAF,n/a,7687.5,,
EXEU022-NAP,15375,n/a,,
EXEU024,n/a,n/a,,
EXEU024-NAF,n/a,n/a,,
EXEU024-NAP,n/a,n/a,,
EXEU027,16125,8062.5,,
EXEU027-NAF,n/a,8062.5,,
EXEU027-NAP,16125,n/a,,
EXEU028,17250,8625,,
EXEU028-NAF,n/a,8625,,
EXEU028-NAP,17250,n/a,,
EXEU029,9502.5,4747.5,,
EXEU029-NAF,n/a,4747.5,,
EXEU029-NAP,9502.5,n/a,,
EXEU030,4747.5,2377.5,,
EXEU030-NAF,n/a,2377.5,,
EXEU030-NAP,4747.5,n/a,,
EXEU031,9000,4500,,
EXEU031-NAF,n/a,4500,,
EXEU031-NAP,9000,n/a,,
EXEU032,4500,2250,,
EXEU032-NAF,n/a,2250,,
EXEU032-NAP,4500,n/a,,
EXEU033,16125,0,,
EXEU033-NAF,n/a,0,,
EXEU033-NAP,16125,n/a,,
EXEU034,13500,6750,,
EXEU034-NAF,n/a,6750,,
EXEU034-NAP,13500,n/a,,
PLRH,TBC,TBC,,
PLRH-NAF,n/a,TBC,,
PLRH-NAP,TBC,n/a,,
PLRO,20500,10250,,
PLRO-NAF,n/a,10250,,
PLRO-NAP,20500,n/a,,
PLTH,8100,4050,,
PLTH-NAF,n/a,4050,,
PLTH-NAP,8100,n/a,,
PLTO,20500,10250,,
PLTO-NAF,n/a,10250,,
PLTO-NAP,20500,n/a,,
PNRH,TBC,TBC,,
PNRH-NAF,n/a,TBC,,
PNRH-NAP,TBC,n/a,,
PNRO,16800,8400,,
PNRO-NAF,n/a,8400,,
PNRO-NAP,16800,n/a,,
PNTH,8100,4050,,
PNTH-NAF,n/a,4050,,
PNTH-NAP,8100,n/a,,
PNTO,16800,8400,,
PNTO-NAF,n/a,8400,,
PNTO-NAP,16800,n/a,,
ULTH,9250,4625,,
ULTH-NAF,n/a,4625,,
ULTH-NAP,9250,n/a,,
ULTO,20500,10250,,
ULTO-NAF,n/a,10250,,
ULTO-NAP,20500,n/a,,
UNTH,9250,4625,,
UNTH-NAF,n/a,4625,,
UNTH-NAP,9250,n/a,,
UNTO,16800,8400,,
UNTO-NAF,n/a,8400,,
UNTO-NAP,16800,n/a,,
PLRE,15375,7687.5,,
PLRE-NAF,n/a,7687.5,,
PLRE-NAP,15375,n/a,,
PLTE,15375,7687.5,,
PLTE-NAF,n/a,7687.5,,
PLTE-NAP,15375,n/a,,
PNRE,12600,6300,,
PNRE-NAF,n/a,6300,,
PNRE-NAP,12600,n/a,,
PNTE,12600,6300,,
PNTE-NAF,n/a,6300,,
PNTE-NAP,12600,n/a,,
ULTE,15375,7687.5,,
ULTE-NAF,n/a,7687.5,,
ULTE-NAP,15375,n/a,,
UNTE,12600,6300,,
UNTE-NAF,n/a,6300,,
UNTE-NAP,100000,n/a,,
