band,full-time,part-time,euro-full-time,euro-part-time
R1,99999,99999,,
S1,99999,99999,,
P1,99999,99999,,
P2,99999,99999,,
P3,99999,99999,,
P4,99999,99999,,
P5,99999,99999,,
P6,99999,99999,,
P7,99999,99999,,
P8,99999,99999,,
P9,99999,99999,,
P10,99999,99999,,
P11,99999,99999,,
P12,99999,99999,,
P13,99999,99999,,
P14,99999,99999,,
P15,99999,99999,,
P16,99999,99999,,
P17,99999,99999,,
P18,99999,99999,,
P19,99999,99999,,
P20,99999,99999,,
P21,99999,99999,,
P22,99999,99999,,
P23,99999,99999,,
P24,99999,99999,,
P25,99999,99999,,
OS1,99999,99999,,
OS2,99999,99999,,
OS3,99999,99999,,
OS4,99999,99999,,
OS5,99999,99999,,
OS6,99999,99999,,
OS7,99999,99999,,
OS8,99999,99999,,
OS9,99999,99999,,
OS10,99999,99999,,
OS11,99999,99999,,
OS12,99999,99999,,
OS13,99999,99999,,
OS14,99999,99999,,
OS15,99999,99999,,
OS16,99999,99999,,
OS17,99999,99999,,
USE1,99999,99999,,
USE2,99999,99999,,
USE3,99999,99999,,
USE4,99999,99999,,
USE5,99999,99999,,
USE6,99999,99999,,
USE7,99999,99999,,
USE8,99999,99999,,
USE9,99999,99999,,
USN1,99999,99999,,
USN2,99999,99999,,
USN3,99999,99999,,
USN4,99999,99999,,
USN5,99999,99999,,
USN6,99999,99999,,
USN7,99999,99999,,
USN8,99999,99999,,
UP1,99999,99999,,
UP2,99999,99999,,
UP3,99999,99999,,
UP4,99999,99999,,
UP5,99999,99999,,
UP6,99999,99999,,
UP7,99999,99999,,
UP8,99999,99999,,
UP9,99999,99999,,
UP10,99999,99999,,
UP11,99999,99999,,
UP12,99999,99999,,
UP13,99999,99999,,
UP14,99999,99999,,
UP15,99999,99999,,
UP16,99999,99999,,
UP17,99999,99999,,
UP18,99999,99999,,
UP19,99999,99999,,
UP20,99999,99999,,
UP21,99999,99999,,
UP22,99999,99999,,
UP23,99999,99999,,
UP24,99999,99999,,
UP25,99999,99999,,
UOS1,99999,99999,,
UOS2,99999,99999,,
UOS3,99999,99999,,
UOS4,99999,99999,,
UOS5,99999,99999,,
UOS6,99999,99999,,
UOS7,99999,99999,,
UOS8,99999,99999,,
UOS9,99999,99999,,
UOS10,99999,99999,,
UOS11,99999,99999,,
UOS12,99999,99999,,
UOS13,99999,99999,,
UOS14,99999,99999,,
UOS15,99999,99999,,
UOS16,99999,99999,,
UOS17,99999,99999,,
E1H,99999,99999,,
E1O,99999,99999,,
E3H,99999,99999,,
E3O,99999,99999,,
E4H,99999,99999,,
E4O,99999,99999,,
E5H,99999,99999,,
E5O,99999,99999,,
E6H,99999,99999,,
E6O,99999,99999,,
E7H,99999,99999,,
E7O,99999,99999,,
E9,99999,99999,,
E10,99999,99999,,
E11H,99999,99999,,
E11O,99999,99999,,
E12H,99999,99999,,
E12O,99999,99999,,
E13,99999,99999,,
E14,99999,99999,,
E15,99999,99999,,
E16,99999,99999,,
E17,99999,99999,,
E18H,99999,99999,,
E18O,99999,99999,,
E19H,99999,99999,,
E19O,99999,99999,,
E20,99999,99999,,
E21H,99999,99999,,
E21O,99999,99999,,
E22H,99999,99999,,
E22O,99999,99999,,
E22AH,99999,99999,,
E22AO,99999,99999,,
E23H,99999,99999,,
E23O,99999,99999,,
E24H,99999,99999,,
E24O,99999,99999,,
E25,99999,99999,,
E26H,99999,99999,,
E26O,99999,99999,,
E27H,99999,99999,,
E27O,99999,99999,,
E28,99999,99999,,
E29,99999,99999,,
E30,99999,99999,,
E31H,99999,99999,,
E31O,99999,99999,,
E32H,99999,99999,,
E32O,99999,99999,,
E33H,99999,99999,,
E33O,99999,99999,,
E34,99999,99999,,
E35H,99999,99999,,
E35O,99999,99999,,
E36,99999,99999,,
E37H,99999,99999,,
E37O,99999,99999,,
E38,99999,99999,,
UXN1,99999,99999,,
UXN2,99999,99999,,
UXN3H,99999,99999,,
UXN3O,99999,99999,,
UXN4,99999,99999,,
UXN5H,99999,99999,,
UXN5O,99999,99999,,
UXN6H,99999,99999,,
UXN6O,99999,99999,,
UXN7,99999,99999,,
UXN8H,99999,99999,,
UXN8O,99999,99999,,
UXN9,99999,99999,,
UXN10,99999,99999,,
UXN11,99999,99999,,
UXN12,99999,99999,,
UXN13,99999,99999,,
UXN14,99999,99999,,
UXN15,99999,99999,,
UXN16,99999,99999,,
UXN17,99999,99999,,
UXN18,99999,99999,,
UXN19,99999,99999,,
UXN20,99999,99999,,
UXN21,99999,99999,,
UXN22H,99999,99999,,
UXN22O,99999,99999,,
UXN23,99999,99999,,
UXN24,99999,99999,,
UXN25,99999,99999,,
XXX1,99999,99999,,
BRU01,99999,99999,99999,99999
BRU02,99999,99999,99999,99999
BRU03,99999,99999,99999,99999
XXX2,99999,99999,,
XXX3,99999,99999,,
XXX4,99999,99999,,
XXX5,99999,99999,,
XXX6,99999,99999,,
XXX7,99999,99999,,
XXX8,99999,99999,,
XXX9,99999,99999,,
XXX10,99999,99999,,
XXX11,99999,99999,,
XXX12,99999,99999,,
XXX13,99999,99999,,
XXX14,99999,99999,,
XXX15,99999,99999,,
XXX16,99999,99999,,
XXX17,99999,99999,,
XXX18,99999,99999,,
XXX19,99999,99999,,
XXX20,99999,99999,,
XXX21,99999,99999,,
XXX22,99999,99999,,
ATH01,99999,99999,7500,
XXX23,99999,99999,,
XXX24,99999,99999,,
XXX25,99999,99999,,
XXX26,99999,99999,,
XXX27,99999,99999,,
XXX28,99999,99999,,
